Designation (and name)	Prov. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2014 BH25	0.829	4.487	0.06369	21.6	20131104	352.7	283.4	137.6	9.6	0.688	2.658	( 27d)	E2014-D13	2014 BH25	2014 01 24  F51  Pan-STARRS 1
	2014 BF25	0.863	3.238	0.0196	25.4	20131104	348.1	119.2	304.4	5.5	0.579	2.051	( 12d)	E2014-D09	2014 BF25	2014 01 24  F51  Pan-STARRS 1
	2014 BR8	0.928	1.512	0.05189	21.7	20131104	342.3	114.2	304.8	17.1	0.239	1.22	( 35d)	E2014-D39	2014 BR8	2014 01 23  J75
	2014 BP8	0.912	1.473	0.0092	27.3	20131104	262	236.4	304.4	13.5	0.235	1.193	(  4d)	E2014-D09	2014 BP8	2014 01 23  703  Catalina Sky Survey
	2014 BK3	0.975	2.344	0.05721	24.5	20131104	342.3	132.8	304.3	9.8	0.413	1.659	(  9d)	MPO284116	2014 BK3	2014 01 21  G96  Mt. Lemmon Survey
	2014 BG3	0.734	1.852	0.13481	21.1	20131104	221.1	131.1	120.3	15.8	0.432	1.293	( 29d)	E2014-D09	2014 BG3	2014 01 21  G96  Mt. Lemmon Survey
	2014 BZ2	0.509	1.764	0.00258	25.5	20131104	248.1	96.1	138.5	0.6	0.552	1.136	(  3d)	MPO284115	2014 BZ2	2014 01 21  G96  Mt. Lemmon Survey
	2014 BX2	0.531	3.891	0.00395	21.9	20131104	314.2	99.9	135.9	2.2	0.76	2.211	( 30d)	E2014-D09	2014 BX2	2014 01 20  G96  Mt. Lemmon Survey
	2014 BW2	0.985	2.785	0.02347	19.8	20131104	300.6	26.4	163.3	16.5	0.477	1.885	( 46d)	E2014-D27	2014 BW2	2014 01 18  F51  Pan-STARRS 1
	2014 BP	0.724	1.386	0.02209	25.1	20131104	357.6	74.4	300.9	8.5	0.313	1.055	(  8d)	MPO284112	2014 BP	2014 01 20  703  Catalina Sky Survey
	2014 AA53	0.78	3.959	0.1397	19.8	20131104	355.9	344.8	24	12.4	0.671	2.369	( 28d)	MPO284110	2014 AA53	2014 01 13  C51  WISE
	2014 AT51	0.664	2.472	0.02578	22.2	20131104	350.8	129.1	259.4	2.8	0.577	1.568	( 38d)	E2014-D13	2014 AT51	2014 01 13  703  Catalina Sky Survey
	2014 AN51	0.631	2.219	0.16501	20.5	20131104	6.1	14.1	339.2	9.9	0.557	1.425	( 18d)	MPO284108	2014 AN51	2014 01 12  G96  Mt. Lemmon Survey
	2014 AM51	0.992	2.238	0.0113	24.9	20131104	330	350.7	114.3	7.1	0.386	1.615	(  3d)	MPO284108	2014 AM51	2014 01 11  703  Catalina Sky Survey
	2014 AK51	0.972	4.752	0.00102	26.6	20131104	349	347.4	105.7	2.5	0.66	2.862	(  3d)	MPO284108	2014 AK51	2014 01 10  703  Catalina Sky Survey
	2014 AG51	0.765	2.891	0.00072	29.9	20131104	350.7	119.1	283	0.4	0.581	1.828	(  1d)	MPO284108	2014 AG51	2014 01 10  G96  Mt. Lemmon Survey
	2014 AE51	0.923	4.029	0.00382	25.5	20131104	335.3	214.7	295.3	9.8	0.627	2.476	(  4d)	MPO284107	2014 AE51	2014 01 10  703  Catalina Sky Survey
	2014 AD33	0.565	3.206	0.11497	22	20131104	356.2	74.4	297.7	38.2	0.7	1.886	( 20d)	MPO285805	2014 AD33	2014 01 09  703  Catalina Sky Survey
	2014 AA33	0.977	4.802	0.26535	19.2	20131104	329.5	86.6	104.1	20.1	0.662	2.889	( 57d)	E2014-D19	2014 AA33	2014 01 09  703  Catalina Sky Survey
	2014 AZ32	0.982	2.837	0.00405	26	20131104	328.9	197.8	291.8	1.6	0.486	1.909	(  5d)	MPO285805	2014 AZ32	2014 01 09  703  Catalina Sky Survey
	2014 AY32	0.99	3.593	0.01288	26.6	20131104	346.1	341.1	105.8	2.7	0.568	2.292	(  5d)	MPO279509	2014 AY32	2014 01 07  G96  Mt. Lemmon Survey
	2014 AW32	0.779	1.298	0.0008	27.5	20131104	232.8	272.7	290.2	18.3	0.25	1.038	(  1d)	MPO279509	2014 AW32	2014 01 10  703  Catalina Sky Survey
	2014 AM29	0.947	4.237	0.00319	25.2	20131104	338.1	18.9	124.6	1.6	0.635	2.592	(  7d)	MPO285805	2014 AM29	2014 01 07  703  Catalina Sky Survey
	2014 AB17	0.781	3.117	0.04693	23	20131104	319.2	33.6	143.7	5.7	0.599	1.949	(  7d)	MPO285804	2014 AB17	2014 01 05  809
	2014 AA17	0.788	3.573	0.20773	20.4	20131104	317.6	268.1	289.4	47.4	0.639	2.181	( 31d)	MPO285804	2014 AA17	2014 01 04  F51  Pan-STARRS 1
	2014 AZ16	0.881	1.525	0.05519	24.1	20131104	245.6	272.4	291.3	13	0.268	1.203	( 30d)	MPO285804	2014 AZ16	2014 01 04  F51  Pan-STARRS 1
	2014 AY16	0.984	4.268	0.02747	23.3	20131104	355.4	144.8	263.1	4.4	0.625	2.626	(  6d)	MPO279507	2014 AY16	2014 01 03  G96  Mt. Lemmon Survey
	2014 AG16	0.977	2.344	0.04911	22.7	20131104	347.1	118.2	308.5	4.3	0.411	1.661	( 32d)	MPO285804	2014 AG16	2014 01 04  703  Catalina Sky Survey
	2014 AF16	0.928	2.674	0.00047	25.2	20131104	323.1	213.8	288	3.1	0.485	1.801	(  6d)	MPO285804	2014 AF16	2014 01 03  703  Catalina Sky Survey
	2014 AD16	0.884	1.894	0.00225	27.4	20131104	296.5	9	150.2	0.2	0.364	1.389	(  3d)	MPO279506	2014 AD16	2014 01 03  G96  Mt. Lemmon Survey
	2014 AB16	0.88	2.673	0.01129	25.5	20131104	352.9	301.5	103.5	3.3	0.505	1.776	(  9d)	MPO285804	2014 AB16	2014 01 02  G96  Mt. Lemmon Survey
	2014 AF5	0.751	2.31	0.00071	28.8	20131104	354.1	287.7	100.7	7.3	0.509	1.531	(  1d)	MPO279505	2014 AF5	2014 01 02  703  Catalina Sky Survey
	2014 AE5	0.995	2.067	0.01607	25.5	20131104	337.4	341.3	101.2	2.6	0.35	1.531	( 10d)	MPO279505	2014 AE5	2014 01 02  G96  Mt. Lemmon Survey
	2014 AA	0.918	1.403	0.00003	30.9	20131104	278.3	52	101.7	1.4	0.209	1.161	(  0d)	MPO279504	2014 AA	2014 01 01  G96  Mt. Lemmon Survey
	2013 YK148	0.245	4.04	0.19953	18.6	20131104	354.9	11.6	12.1	17.7	0.886	2.143	( 54d)	E2014-D22	2013 YK148	2013 12 30  691  Spacewatch
	2013 YP139	0.765	4.049	0.00391	21.6	20131104	357	82.9	292.9	0.8	0.682	2.407	( 30d)	MPO285801	2013 YP139	2013 12 29  C51  WISE
	2013 YO139	0.655	2.016	0.32985	20.1	20131104	80	203.6	101.5	30.6	0.509	1.336	( 12d)	MPO285801	2013 YO139	2013 12 30  F51  Pan-STARRS 1
	2013 YX102	0.789	1.994	0.01265	25.3	20131104	1.8	285.1	94.1	9.4	0.433	1.391	(  2d)	MPO285799	2013 YX102	2013 12 31  G96  Mt. Lemmon Survey
	2013 YV102	0.685	1.979	0.0131	25.5	20131104	284.9	112.9	80.1	1.9	0.485	1.332	(  4d)	MPO285799	2013 YV102	2013 12 31  G96  Mt. Lemmon Survey
	2013 YT102	0.801	1.223	0.03152	25	20131104	222.2	286.2	278.5	12.8	0.209	1.012	(  5d)	MPO285799	2013 YT102	2013 12 31  G96  Mt. Lemmon Survey
	2013 YL70	0.421	2.145	0.0976	20.9	20131104	280.8	91.4	126.9	15.2	0.672	1.283	( 10d)	MPO279499	2013 YL70	2013 12 30  703  Catalina Sky Survey
	2013 YM48	0.863	3.199	0.01037	25.7	20131104	326.2	234.2	283	6.4	0.575	2.031	(  6d)	MPO279497	2013 YM48	2013 12 30  G96  Mt. Lemmon Survey
	2013 YL48	0.913	1.533	0.05067	23.9	20131104	272.9	249.9	276.5	13.5	0.253	1.223	(  5d)	MPO279496	2013 YL48	2013 12 30  G96  Mt. Lemmon Survey
	2013 YK48	0.846	1.522	0.00321	23.5	20131104	273	69.3	99.8	20	0.286	1.184	(  5d)	MPO279496	2013 YK48	2013 12 30  703  Catalina Sky Survey
	2013 YJ48	0.763	2.257	0.0076	26.2	20131104	358.7	106.4	273.2	12.2	0.495	1.51	( 11d)	MPO285794	2013 YJ48	2013 12 29  F51  Pan-STARRS 1
	2013 YH48	0.789	1.259	0.07739	23.3	20131104	71.9	53.8	257.6	10.1	0.23	1.024	(  4d)	MPO279496	2013 YH48	2013 12 29  F51  Pan-STARRS 1
	2013 YE48	0.492	3.298	0.01338	23.7	20131104	318.8	102.3	100	23	0.74	1.895	(  6d)	MPO279495	2013 YE48	2013 12 29  F51  Pan-STARRS 1
	2013 YD48	0.776	3.065	0.00436	22.6	20131104	318.2	287.3	248.4	3.2	0.596	1.921	( 14d)	MPO279495	2013 YD48	2013 12 29  F51  Pan-STARRS 1
	2013 YC48	0.45	1.887	0.07065	21.8	20131104	17.3	228.9	99.5	15.9	0.615	1.168	( 14d)	E2014-D19	2013 YC48	2013 12 28  691  Spacewatch
	2013 YE38	0.776	3.353	0.09444	20.1	20131104	3.9	281.8	79.8	34.1	0.624	2.065	(  9d)	MPO279493	2013 YE38	2013 12 28  703  Catalina Sky Survey
	2013 YA38	0.762	4.24	0.05819	20.8	20131104	4.8	172.3	187.4	4.1	0.695	2.501	(  9d)	MPO279492	2013 YA38	2013 12 27  G96  Mt. Lemmon Survey
	2013 YB14	0.729	4.213	0.01316	22.8	20131104	357.8	87.5	293.3	2.7	0.705	2.471	( 12d)	E2014-D19	2013 YB14	2013 12 26  703  Catalina Sky Survey
	2013 YA14	0.77	1.587	0.00563	23.7	20131104	275.1	256.9	277.4	4.6	0.347	1.178	(  2d)	MPO279486	2013 YA14	2013 12 26  703  Catalina Sky Survey
	2013 YY13	0.726	4.207	0.05304	19.2	20131104	359.8	129.8	223.1	10.2	0.706	2.467	( 44d)	E2014-D09	2013 YY13	2013 12 23  F51  Pan-STARRS 1
	2013 YR2	0.956	1.539	0.03491	24.2	20131104	273.9	65.9	97.8	4.1	0.234	1.248	(  8d)	MPO279480	2013 YR2	2013 12 25  G96  Mt. Lemmon Survey
	2013 YQ2	0.916	4.159	0.01088	23.7	20131104	354.5	344.4	71.1	2	0.639	2.538	( 18d)	MPO285790	2013 YQ2	2013 12 24  703  Catalina Sky Survey
	2013 YO2	0.951	3.943	0.01901	24.8	20131104	355.8	313.4	95.6	3.1	0.611	2.447	(  6d)	MPO279479	2013 YO2	2013 12 24  G96  Mt. Lemmon Survey
	2013 YL2	0.404	1.969	0.00812	23.1	20131104	275.8	303.6	277.9	5.9	0.659	1.186	(  9d)	MPO285790	2013 YL2	2013 12 23  J43  Morocco Oukaimeden Sky Survey
	2013 YF	0.753	1.453	0.1071	23.1	20131104	242.4	291.7	268.1	25.2	0.317	1.103	(  9d)	MPO279478	2013 YF	2013 12 23  G96  Mt. Lemmon Survey
	2013 YD	0.616	1.536	0.00565	23.6	20131104	15.6	72.9	268.7	7.2	0.427	1.076	( 13d)	MPO279477	2013 YD	2013 12 23  703  Catalina Sky Survey
	2013 YC	0.14	4.845	0.00531	21.3	20131104	358.7	33.8	263	2.9	0.944	2.492	( 30d)	MPO285790	2013 YC	2013 12 23  G96  Mt. Lemmon Survey
	2013 YB	0.893	2.109	0.00009	31.5	20131104	313.9	229.7	269.1	0.2	0.405	1.501	(  0d)	MPO279477	2013 YB	2013 12 23  703  Catalina Sky Survey
	2013 XN24	0.99	4.353	0.00906	19.3	20131104	352.3	172.6	279.4	14	0.629	2.671	(153d)	E2014-D22	2013 XN24	2013 12 14  F51  Pan-STARRS 1
	2013 XM24	0.959	2.376	0.10673	18.9	20131104	274.3	118.2	99.5	38.3	0.425	1.667	( 56d)	MPO285789	2013 XM24	2013 12 13  G96  Mt. Lemmon Survey
	2013 XK22	0.834	1.261	0.00167	24.1	20131104	256.6	265.2	268.5	7	0.204	1.048	(  6d)	MPO279475	2013 XK22	2013 12 14  703  Catalina Sky Survey
	2013 XH22	0.614	2.979	0.00128	26.2	20131104	322.6	91	82.6	4.2	0.658	1.796	(  4d)	MPO279475	2013 XH22	2013 12 14  G96  Mt. Lemmon Survey
	2013 XG22	0.988	3.14	0.27674	20.3	20131104	8.9	100.7	273.3	30.6	0.521	2.064	( 29d)	MPO285789	2013 XG22	2013 12 13  703  Catalina Sky Survey
	2013 XA22	0.839	1.362	0.00391	22.8	20131104	45.2	258.2	82.6	2	0.237	1.101	( 29d)	MPO285789	2013 XA22	2013 12 13  G96  Mt. Lemmon Survey
	2013 XZ21	0.777	1.705	0.06554	20.4	20131104	260.8	110.7	93.1	32	0.374	1.241	( 33d)	MPO285789	2013 XZ21	2013 12 12  703  Catalina Sky Survey
	2013 XU21	0.939	3.97	0.00688	26.2	20131104	343.6	34	80.4	4.4	0.617	2.455	(  1d)	MPO279473	2013 XU21	2013 12 13  703  Catalina Sky Survey
	2013 XT21	0.863	4.145	0.00271	27.3	20131104	358.6	130.3	263.1	2.9	0.655	2.504	(  1d)	MPO279473	2013 XT21	2013 12 13  703  Catalina Sky Survey
	2013 XS21	0.967	2.939	0.00047	29.4	20131104	351.7	339.3	81.8	1	0.505	1.953	(  2d)	MPO279472	2013 XS21	2013 12 12  703  Catalina Sky Survey
	2013 XA21	0.981	4.619	0.09636	21.5	20131104	1.5	131.4	262.5	16	0.65	2.8	( 29d)	MPO279472	2013 XA21	2013 12 12  703  Catalina Sky Survey
	2013 XH17	0.996	1.516	0.01407	25.3	20131104	326.8	191.4	259.5	17.8	0.207	1.256	(  4d)	MPO281967	2013 XH17	2013 12 10  703  Catalina Sky Survey
	2013 XG17	0.671	4.422	0.02718	22.8	20131104	339.2	82.5	75.9	14.2	0.736	2.547	( 18d)	MPO281966	2013 XG17	2013 12 10  703  Catalina Sky Survey
	2013 XG10	0.983	2.68	0.02238	25.4	20131104	334.6	206.2	264.4	7.4	0.464	1.831	(  7d)	MPO281966	2013 XG10	2013 12 07  F51  Pan-STARRS 1
	2013 XZ9	0.924	2.118	0.01851	22.4	20131104	1.9	314.9	71.3	21.4	0.393	1.521	(  7d)	MPO281966	2013 XZ9	2013 12 08  703  Catalina Sky Survey
	2013 XY9	0.991	2.254	0.0168	23.5	20131104	359.5	214.8	183.7	3.1	0.389	1.623	( 35d)	MPO285788	2013 XY9	2013 12 07  703  Catalina Sky Survey
	2013 XY8	0.953	3.518	0.00001	25	20131104	343.1	24.3	81	1.8	0.574	2.235	(  6d)	MPO281966	2013 XY8	2013 12 07  703  Catalina Sky Survey
	2013 XW3	0.903	2.572	0.04122	20.5	20131104	21.9	284.2	70.6	4.6	0.48	1.738	( 29d)	MPO281965	2013 XW3	2013 12 04  F51  Pan-STARRS 1
	2013 XS3	0.718	1.68	0.28132	20.1	20131104	188.8	341	251.5	27.8	0.401	1.199	( 31d)	MPO281965	2013 XS3	2013 12 03  F51  Pan-STARRS 1
	2013 WF108	0.849	3.135	0.02479	20	20131104	302.9	309	239.1	23.5	0.574	1.992	( 87d)	E2014-D22	2013 WF108	2013 11 27  F51  Pan-STARRS 1
	2013 WZ107	0.958	2.026	0.00459	27.4	20131104	4.6	143.9	244.1	1.9	0.358	1.492	(  9d)	MPO278172	2013 WZ107	2013 11 27  F51  Pan-STARRS 1
	2013 WM106	0.868	4.005	0.0605	19.5	20131104	34.3	168.8	142	5.8	0.644	2.436	( 28d)	MPO281965	2013 WM106	2013 11 27  F51  Pan-STARRS 1
	2013 WY67	0.842	1.843	0.13459	19.3	20131104	241	151.9	64	19.8	0.373	1.343	3	E2014-D39	2013 WY67	2013 11 27  F51  Pan-STARRS 1
	2013 WT67	0.836	1.233	0.01246	17.8	20131104	13.7	99.2	322.8	21.5	0.192	1.034	( 65d)	MPO285786	2013 WT67	2013 11 29  691  Spacewatch
	2013 WS67	0.812	4.225	0.03715	23.3	20131104	6.7	294.4	66.5	15.2	0.678	2.518	(  8d)	MPO278170	2013 WS67	2013 11 29  G96  Mt. Lemmon Survey
	2013 WR67	0.731	4.383	0.00561	22	20131104	9	67.6	270.4	5.1	0.714	2.557	( 39d)	MPO281963	2013 WR67	2013 11 29  F51  Pan-STARRS 1
	2013 WP67	0.94	1.478	0.0996	24.7	20131104	37.7	99.1	245.9	18	0.222	1.209	(  3d)	MPO278169	2013 WP67	2013 11 28  G96  Mt. Lemmon Survey
	2013 WU45	0.585	2.262	0.08482	20.3	20131104	304.2	153.7	36.3	5.8	0.589	1.423	( 16d)	MPO281962	2013 WU45	2013 11 28  703  Catalina Sky Survey
	2013 WT45	0.869	2.39	0.00705	20.3	20131104	309.8	121.9	33.2	9.3	0.467	1.629	( 63d)	MPO281962	2013 WT45	2013 11 28  F51  Pan-STARRS 1
	2013 WR45	0.791	1.238	0.03368	25.7	20131104	242	302.9	242.7	4.4	0.221	1.014	( 25d)	MPO281962	2013 WR45	2013 11 27  F51  Pan-STARRS 1
	2013 WZ44	0.862	2.343	0.00388	25.8	20131104	9.4	125.3	243	11.4	0.462	1.602	( 24d)	MPO281962	2013 WZ44	2013 11 28  703  Catalina Sky Survey
	2013 WX44	0.952	4.684	0.01722	25.8	20131104	0.5	139.5	252.4	3.9	0.662	2.818	( 13d)	MPO278166	2013 WX44	2013 11 27  F51  Pan-STARRS 1
	2013 WW44	0.715	1.398	0.30042	20.4	20131104	157.1	176.2	71.6	25.7	0.323	1.056	( 30d)	MPO281962	2013 WW44	2013 11 27  F51  Pan-STARRS 1
	2013 WV44	0.87	2.805	0.01313	22.7	20131104	29.5	226.2	101.5	5.2	0.527	1.837	( 28d)	MPO281962	2013 WV44	2013 11 27  F51  Pan-STARRS 1
	2013 WU44	0.925	2.107	0.14353	20.8	20131104	290	94.9	74.3	17.9	0.39	1.516	( 38d)	MPO281962	2013 WU44	2013 11 27  F51  Pan-STARRS 1
	2013 WT44	0.975	3.542	0.03154	19.6	20131104	327.7	325.7	182.8	12.2	0.568	2.259	( 84d)	E2014-D19	2013 WT44	2013 11 27  703  Catalina Sky Survey
	2013 WR44	0.956	2.282	0.08181	20.5	20131104	66.6	58.3	244.5	32.1	0.41	1.619	( 38d)	MPO281962	2013 WR44	2013 11 26  F51  Pan-STARRS 1
	2013 WY43	0.79	1.443	0.00402	26.7	20131104	36.4	270.3	65.7	11.4	0.293	1.117	(  1d)	MPO278163	2013 WY43	2013 11 28  G96  Mt. Lemmon Survey
	2013 WX43	0.309	3.894	0.02383	22.6	20131104	9.6	83.2	213	3.6	0.853	2.102	( 26d)	MPO285785	2013 WX43	2013 11 27  F51  Pan-STARRS 1
	2013 WV43	0.96	2.685	0.02085	26.8	20131104	338.5	36.5	65.3	6.8	0.473	1.822	(  4d)	MPO285785	2013 WV43	2013 11 26  F51  Pan-STARRS 1
	2013 WU43	0.949	2.327	0.25747	21.9	20131104	308.8	86.1	62.6	35.3	0.421	1.638	( 38d)	MPO281962	2013 WU43	2013 11 26  F51  Pan-STARRS 1
	2013 WT43	0.592	4.098	0.01815	22.5	20131104	9.9	84.5	239.4	16.6	0.747	2.345	( 11d)	MPO278163	2013 WT43	2013 11 26  F51  Pan-STARRS 1
	2013 WS43	0.979	2.519	0.05902	22.7	20131104	324.7	67.2	61.1	4.6	0.44	1.749	( 78d)	E2014-D09	2013 WS43	2013 11 26  G96  Mt. Lemmon Survey
	2013 WR43	0.894	1.931	0.02465	21.8	20131104	43.5	42	280.3	5.9	0.367	1.413	( 47d)	MPO278163	2013 WR43	2013 11 25  F51  Pan-STARRS 1
	2013 WH25	0.525	2.685	0.00021	29.6	20131104	324.4	279.3	247	3	0.673	1.605	(  0d)	MPO278161	2013 WH25	2013 11 28  G96  Mt. Lemmon Survey
